date,enrollment,cumulative,year,month,Year,Month,DayOfWeek,enrollment_cleaned
2007-01-01,16.0,16.0,2007,1,2007,January,Monday,16.0
2007-01-02,2.0,18.0,2007,1,2007,January,Tuesday,2.0
2007-01-03,2.0,20.0,2007,1,2007,January,Wednesday,2.0
2007-01-04,4.0,24.0,2007,1,2007,January,Thursday,4.0
2007-01-05,3.0,27.0,2007,1,2007,January,Friday,3.0
2007-01-06,0.0,27.0,2007,1,2007,January,Saturday,0.0
2007-01-07,0.0,27.0,2007,1,2007,January,Sunday,0.0
2007-01-08,1.0,28.0,2007,1,2007,January,Monday,1.0
2007-01-09,4.0,32.0,2007,1,2007,January,Tuesday,4.0
2007-01-10,8.0,40.0,2007,1,2007,January,Wednesday,8.0
2007-01-11,1.0,41.0,2007,1,2007,January,Thursday,1.0
2007-01-12,6.0,47.0,2007,1,2007,January,Friday,6.0
2007-01-13,0.0,47.0,2007,1,2007,January,Saturday,0.0
2007-01-14,2.0,49.0,2007,1,2007,January,Sunday,2.0
2007-01-15,4.0,53.0,2007,1,2007,January,Monday,4.0
2007-01-16,3.0,56.0,2007,1,2007,January,Tuesday,3.0
2007-01-17,3.0,59.0,2007,1,2007,January,Wednesday,3.0
2007-01-18,1.0,60.0,2007,1,2007,January,Thursday,1.0
2007-01-19,5.0,65.0,2007,1,2007,January,Friday,5.0
2007-01-20,1.0,66.0,2007,1,2007,January,Saturday,1.0
2007-01-21,1.0,67.0,2007,1,2007,January,Sunday,1.0
2007-01-22,1.0,68.0,2007,1,2007,January,Monday,1.0
2007-01-23,3.0,71.0,2007,1,2007,January,Tuesday,3.0
2007-01-24,4.0,75.0,2007,1,2007,January,Wednesday,4.0
2007-01-25,2.0,77.0,2007,1,2007,January,Thursday,2.0
2007-01-26,3.0,80.0,2007,1,2007,January,Friday,3.0
2007-01-27,0.0,80.0,2007,1,2007,January,Saturday,0.0
2007-01-28,0.0,80.0,2007,1,2007,January,Sunday,0.0
2007-01-29,6.0,86.0,2007,1,2007,January,Monday,6.0
2007-01-30,1.0,87.0,2007,1,2007,January,Tuesday,1.0
2007-01-31,6.0,93.0,2007,1,2007,January,Wednesday,6.0
2007-02-01,8.0,101.0,2007,2,2007,February,Thursday,8.0
2007-02-02,5.0,106.0,2007,2,2007,February,Friday,5.0
2007-02-03,2.0,108.0,2007,2,2007,February,Saturday,2.0
2007-02-04,0.0,108.0,2007,2,2007,February,Sunday,0.0
2007-02-05,4.0,112.0,2007,2,2007,February,Monday,4.0
2007-02-06,3.0,115.0,2007,2,2007,February,Tuesday,3.0
2007-02-07,8.0,123.0,2007,2,2007,February,Wednesday,8.0
2007-02-08,8.0,131.0,2007,2,2007,February,Thursday,8.0
2007-02-09,3.0,134.0,2007,2,2007,February,Friday,3.0
2007-02-10,0.0,134.0,2007,2,2007,February,Saturday,0.0
2007-02-11,0.0,134.0,2007,2,2007,February,Sunday,0.0
2007-02-12,3.0,137.0,2007,2,2007,February,Monday,3.0
2007-02-13,1.0,138.0,2007,2,2007,February,Tuesday,1.0
2007-02-14,7.0,145.0,2007,2,2007,February,Wednesday,7.0
2007-02-15,0.0,145.0,2007,2,2007,February,Thursday,0.0
2007-02-16,4.0,149.0,2007,2,2007,February,Friday,4.0
2007-02-17,0.0,149.0,2007,2,2007,February,Saturday,0.0
2007-02-18,0.0,149.0,2007,2,2007,February,Sunday,0.0
2007-02-19,3.0,152.0,2007,2,2007,February,Monday,3.0
2007-02-20,6.0,158.0,2007,2,2007,February,Tuesday,6.0
2007-02-21,0.0,158.0,2007,2,2007,February,Wednesday,0.0
2007-02-22,4.0,162.0,2007,2,2007,February,Thursday,4.0
2007-02-23,4.0,166.0,2007,2,2007,February,Friday,4.0
2007-02-24,0.0,166.0,2007,2,2007,February,Saturday,0.0
2007-02-25,0.0,166.0,2007,2,2007,February,Sunday,0.0
2007-02-26,3.0,169.0,2007,2,2007,February,Monday,3.0
2007-02-27,2.0,171.0,2007,2,2007,February,Tuesday,2.0
2007-02-28,7.0,178.0,2007,2,2007,February,Wednesday,7.0
2007-03-01,8.0,186.0,2007,3,2007,March,Thursday,8.0
2007-03-02,2.0,188.0,2007,3,2007,March,Friday,2.0
2007-03-03,0.0,188.0,2007,3,2007,March,Saturday,0.0
2007-03-04,0.0,188.0,2007,3,2007,March,Sunday,0.0
2007-03-05,7.0,195.0,2007,3,2007,March,Monday,7.0
2007-03-06,1.0,196.0,2007,3,2007,March,Tuesday,1.0
2007-03-07,3.0,199.0,2007,3,2007,March,Wednesday,3.0
2007-03-08,5.0,204.0,2007,3,2007,March,Thursday,5.0
2007-03-09,2.0,206.0,2007,3,2007,March,Friday,2.0
2007-03-10,1.0,207.0,2007,3,2007,March,Saturday,1.0
2007-03-11,0.0,207.0,2007,3,2007,March,Sunday,0.0
2007-03-12,3.0,210.0,2007,3,2007,March,Monday,3.0
2007-03-13,3.0,213.0,2007,3,2007,March,Tuesday,3.0
2007-03-14,4.0,217.0,2007,3,2007,March,Wednesday,4.0
2007-03-15,7.0,224.0,2007,3,2007,March,Thursday,7.0
2007-03-16,2.0,226.0,2007,3,2007,March,Friday,2.0
2007-03-17,0.0,226.0,2007,3,2007,March,Saturday,0.0
2007-03-18,0.0,226.0,2007,3,2007,March,Sunday,0.0
2007-03-19,4.0,230.0,2007,3,2007,March,Monday,4.0
2007-03-20,2.0,232.0,2007,3,2007,March,Tuesday,2.0
2007-03-21,2.0,234.0,2007,3,2007,March,Wednesday,2.0
2007-03-22,3.0,237.0,2007,3,2007,March,Thursday,3.0
2007-03-23,4.0,241.0,2007,3,2007,March,Friday,4.0
2007-03-24,0.0,241.0,2007,3,2007,March,Saturday,0.0
2007-03-25,0.0,241.0,2007,3,2007,March,Sunday,0.0
2007-03-26,4.0,245.0,2007,3,2007,March,Monday,4.0
2007-03-27,0.0,245.0,2007,3,2007,March,Tuesday,0.0
2007-03-28,6.0,251.0,2007,3,2007,March,Wednesday,6.0
2007-03-29,2.0,253.0,2007,3,2007,March,Thursday,2.0
2007-03-30,2.0,255.0,2007,3,2007,March,Friday,2.0
2007-03-31,0.0,255.0,2007,3,2007,March,Saturday,0.0
2007-04-01,0.0,255.0,2007,4,2007,April,Sunday,0.0
2007-04-02,3.0,258.0,2007,4,2007,April,Monday,3.0
2007-04-03,1.0,259.0,2007,4,2007,April,Tuesday,1.0
2007-04-04,9.0,268.0,2007,4,2007,April,Wednesday,9.0
2007-04-05,6.0,274.0,2007,4,2007,April,Thursday,6.0
2007-04-06,2.0,276.0,2007,4,2007,April,Friday,2.0
2007-04-07,0.0,276.0,2007,4,2007,April,Saturday,0.0
2007-04-08,0.0,276.0,2007,4,2007,April,Sunday,0.0
2007-04-09,0.0,276.0,2007,4,2007,April,Monday,0.0
2007-04-10,4.0,280.0,2007,4,2007,April,Tuesday,4.0
2007-04-11,5.0,285.0,2007,4,2007,April,Wednesday,5.0
2007-04-12,4.0,289.0,2007,4,2007,April,Thursday,4.0
2007-04-13,10.0,299.0,2007,4,2007,April,Friday,10.0
2007-04-14,2.0,301.0,2007,4,2007,April,Saturday,2.0
2007-04-15,0.0,301.0,2007,4,2007,April,Sunday,0.0
2007-04-16,7.0,308.0,2007,4,2007,April,Monday,7.0
