date,time_idx,best_model_forecast,best_ensemble_forecast,lower_bound_ci,upper_bound_ci
2024-01-07,887.0,109270.43207940336,93393.74491915712,85393.8728123489,133013.35181010465
2024-01-14,888.0,109509.18972324193,93393.70414560143,85607.18334174065,133249.35238724056
2024-01-21,889.0,109747.93693222779,93371.76109495564,85829.66401995295,133481.4909989986
2024-01-28,890.0,109986.6712711796,93368.97471754681,86052.35804329313,133708.09814318645
2024-02-04,891.0,110225.39030538473,93355.19412376243,86275.26354066336,133934.5421638686
2024-02-11,892.0,110464.09160069883,93340.81402906505,86498.3786330691,134160.82120082653
2024-02-18,893.0,110702.77272364519,93340.8140093569,86721.70143367577,134386.93339927998
2024-02-25,894.0,110941.43124151406,93344.67964069625,86945.23004786565,134612.87690994627
2024-03-03,895.0,111180.06472246193,93177.1257412381,87168.96257329556,134838.6498890987
2024-03-10,896.0,111418.6707356108,93163.57724773114,87392.89709995528,135064.250498625
2024-03-17,897.0,111657.24685114718,93164.40593277299,87617.03171022613,135289.6769060851
2024-03-24,898.0,111895.79064042126,93099.73419961869,87841.3644789407,135514.92728476867
2024-03-31,899.0,112134.29967604576,93101.78672950811,88065.89347344261,135739.99981375202
2024-04-07,900.0,112372.77153199477,93082.7553915303,88290.61675364737,135964.89267795513
2024-04-14,901.0,112611.20378370251,93082.75311990625,88515.6907834751,136189.60406819754
2024-04-21,902.0,112849.5940081619,92834.77092036062,88741.79744110307,136414.1321812543
2024-04-28,903.0,113087.939784023,92833.05467705359,88968.09435156509,136638.47521991146
2024-05-05,904.0,113326.2386916913,92791.29714236651,89194.57951833075,136862.631393021
2024-05-12,905.0,113564.48831342602,92773.83577387122,89421.25093760385,137086.59891555543
2024-05-19,906.0,113802.68623343804,92775.82815978536,89648.10659838794,137310.37600866184
2024-05-26,907.0,114040.83003798766,92694.27029178938,89875.14448255229,137533.96089971584
2024-06-02,908.0,114278.91731548244,92694.2699877265,90102.36256489872,137757.3518223746
2024-06-09,909.0,114516.94565657462,92694.2702129648,90335.42023457123,137980.5470166297
2024-06-16,910.0,114754.91265425838,92698.89823311249,90587.02982923055,138203.54472885982
2024-06-23,911.0,114992.81590396697,92699.71624009071,90838.86230865381,138426.3432118823
2024-06-30,912.0,115230.65300366966,92704.67342431682,91085.7125684105,138656.1985086642
2024-07-07,913.0,115468.42155396832,92712.38038726665,91302.87546377652,138901.3496274798
2024-07-14,914.0,115706.11915819392,92558.30258156231,91520.10471846964,139146.22014919747
2024-07-21,915.0,115943.74342250281,92559.4689922996,91737.39813066022,139390.80780288402
2024-07-28,916.0,116181.29195597256,92612.4640443745,91954.75349613688,139635.1103292079
2024-08-04,917.0,116418.76237069786,92608.38421188731,92172.16860839514,139896.60521102787
2024-08-11,918.0,116656.15228188584,92608.30839175222,92389.64125872633,140172.7406770298
2024-08-18,919.0,116893.45930795139,92608.3036142099,92607.16923630664,140448.64442815102
2024-08-25,920.0,117130.68107061207,92608.16706613428,92834.84795283998,140703.90738823797
2024-09-01,921.0,117367.81519498272,92608.16706613428,93063.2910295776,140934.3657365279
2024-09-08,922.0,117604.85930966988,89772.12908435657,93291.88156474843,141164.58019233434
2024-09-15,923.0,117841.81104686586,89754.89511844672,93520.61745133957,141394.54888550966
2024-09-22,924.0,118078.66804244248,89583.00197611134,93749.49657660685,141624.26995455736
2024-09-29,925.0,118315.42793604455,89582.99996412083,93978.5168221495,141858.60833527788
2024-10-06,926.0,118552.088371183,89582.9996380209,94207.67606398568,142108.94197887796
2024-10-13,927.0,118788.64699532767,89580.2810343878,94436.9721726282,142359.03986578505
2024-10-20,928.0,119025.10145999979,89580.25560115871,94666.40301316077,142608.89971577757
2024-10-27,929.0,119261.44942086416,89278.4443561665,94895.96644531476,142858.51925774055
2024-11-03,930.0,119497.6885378208,89279.2815869255,95125.66032354631,143108.3535471855
2024-11-10,931.0,119733.81647509654,89280.9396620501,95355.48249711395,143369.28604927787
2024-11-17,932.0,119969.83090133594,89280.93966086207,95585.43081015658,143629.16936054634
2024-11-24,933.0,120205.72948969205,89282.01488992009,95815.50310177197,143888.56087108515
2024-12-01,934.0,120441.50991791664,89282.46140814752,96045.69720609552,144147.71894224398
2024-12-08,935.0,120677.16986845023,89286.70743954973,96276.01095237961,144406.64117140966
2024-12-15,936.0,120912.70702851145,89286.70743991894,96506.44216507334,144665.32516521952
2024-12-22,937.0,121148.11909018633,89286.7074406091,96736.98866390245,144923.76853964335
2024-12-29,938.0,121383.40375051684,89286.37217785745,96967.64826394996,145181.96892006433
