Day,Exponential_Pred,Logistic_Pred,Richards_Pred,Gompertz_Pred,Gradient Boosting_Pred
0.0,4409.177132955068,6612.965251417441,6410.14530893687,8083.419668968276,27.000027366575047
1.0,4437.66192597995,6630.011538492432,6427.430674278616,8087.343011981484,49.00002731407052
2.0,4466.225683306055,6647.132030876408,6444.790899494263,8091.32152174024,67.00002726181603
3.0,4494.868623834771,6664.3270390511425,6462.22629629084,8095.355814408466,80.00002722482004
4.0,4523.590967074324,6681.596874685932,6479.737177562171,8099.4465107370515,108.00002720409367
5.0,4552.392933141444,6698.941850641148,6497.323857392394,8103.594236069324,134.0000271850789
6.0,4581.274742763062,6716.362280971767,6514.986651059484,8107.799620346164,149.00002715643336
7.0,4610.236617278002,6733.85848093091,6532.725875038761,8112.063298110786,166.0000271436736
8.0,4639.278778638665,6751.4307669733935,6550.541847006425,8116.385908513155,188.00002713269652
9.0,4668.401449412746,6769.07945675926,6568.434885843071,8120.76809531407,207.00002711739577
10.0,4697.604852784934,6786.804869157326,6586.405311637209,8125.210506888875,226.00002709766724
11.0,4726.8892125586135,6804.607324248721,6604.453445688796,8129.713796230823,241.00002709204645
12.0,4756.254753157591,6822.487143330438,6622.57961051275,8134.278620954081,255.00002707971586
13.0,4785.701699627809,6840.444648918868,6640.7841298424755,8138.9056432963625,276.0000270647106
14.0,4815.230277639081,6858.480164753348,6659.067328633388,8143.595530121209,301.0000270550786
15.0,4844.840713486799,6876.594015799705,6677.429533066434,8148.348952919897,323.00002703901464
16.0,4874.533234093689,6894.786528253796,6695.871070551624,8153.1665878129725,348.00002702258206
17.0,4904.308067011545,6913.058029545053,6714.392269731539,8158.049115551424,370.0000270122672
18.0,4934.165440422965,6931.408848340027,6732.993460484868,8162.997221517469,377.00002699444804
19.0,4964.105583143104,6949.839314545929,6751.674973929916,8168.011595724979,389.0000269702175
20.0,4994.128724621432,6968.349759314168,6770.437142428136,8173.092932819507,419.00002695797554
21.0,5024.2350949434895,6986.9405150439,6789.280299587645,8178.241932077954,439.0000269417842
22.0,5054.424924832645,7005.611915385558,6808.20478026674,8183.459297407838,469.000026931373
23.0,5084.698445651873,7024.364295244398,6827.210920577421,8188.745737346187,487.0000269180489
24.0,5115.055889405519,7043.197990784034,6846.299057888904,8194.10196505804,515.0000269012289
25.0,5145.497488741086,7062.113339429976,6865.46953083114,8199.528698334565,539.000026882496
26.0,5176.023476951008,7081.110679873161,6884.72267929832,8205.026659590774,564.0000268662587
27.0,5206.63408797444,7100.190352073492,6904.0588444524055,8210.59657586286,592.0000268440538
28.0,5237.329556399058,7119.352697263367,6923.478368726617,8216.239178805135,621.0000268237071
29.0,5268.1101174628475,7138.598057951204,6942.981595828956,8221.95520468656,645.0000268024138
30.0,5298.976007055915,7157.92677792498,6962.568870745714,8227.745394386893,672.0000267777442
31.0,5329.927461722291,7177.339202255746,6982.24053974496,8233.61049339243,707.0000267527374
32.0,5360.964718661735,7196.835677301157,7001.996950380068,8239.551251791345,742.000026736631
33.0,5392.088015731571,7216.416550708989,7021.838451493191,8245.568424268617,793.0000267100974
34.0,5423.297591448498,7236.082171420661,7041.765393218773,8251.66277010058,843.0000266698889
35.0,5454.593684990414,7255.83288967475,7061.778126987039,8257.835053149029,894.0000266393658
36.0,5485.976536198266,7275.669057010498,7081.877005527487,8264.08604185495,928.000026605167
37.0,5517.446385577874,7295.591026271333,7102.062382872375,8270.416509231822,974.0000265742343
38.0,5549.003474301771,7315.599151608366,7122.334614360207,8276.827232858517,1029.0000265412589
39.0,5580.648044211068,7335.693788483897,7142.6940566392095,8283.318994871786,1090.0000265065316
40.0,5612.380337817291,7355.87529367492,7163.14106767082,8289.89258195833,1142.0000264697917
41.0,5644.200598304245,7376.144025276611,7183.676006733147,8296.548785346453,1178.0000264338883
42.0,5676.109069529886,7396.500342705825,7204.299234424452,8303.288400797317,1248.0000263870738
43.0,5708.105996028176,7416.944606704583,7225.0111126666125,8310.112228595754,1314.0000263385575
44.0,5740.191623010964,7437.477179343558,7245.8120047085795,8317.021073540678,1376.0000262951896
45.0,5772.366196369867,7458.098424025556,7266.702275129839,8324.015744935074,1426.0000262512635
46.0,5804.629962678147,7478.808705488983,7287.682289843864,8331.097056575565,1488.000026207542
47.0,5836.983169192616,7499.608389811327,7308.752416101561,8338.265826741565,1556.0000261624425
48.0,5869.426063855504,7520.497844412616,7329.913022494724,8345.522878183994,1608.0000261136115
49.0,5901.958895296395,7541.477438058886,7351.164478959456,8352.869038113588,1666.0000260702016
50.0,5934.581912834099,7562.54754086563,7372.507156779613,8360.305138188782,1709.0000260283612
51.0,5967.295366478584,7583.708524301252,7393.941428590231,8367.832014503156,1731.000025997694
52.0,6000.099506932878,7604.9607611905085,7415.467668380943,8375.450507572476,1882.0000259385622
53.0,6032.994585595001,7626.304625717956,7437.086251499402,8383.161462321292,2091.000025791111
54.0,6065.980854559892,7647.740493431373,7458.797554654691,8390.96572806912,2210.0000257147194
55.0,6099.058566621328,7669.268741245199,7480.601955920718,8398.864158516204,2284.000025666919
56.0,6132.227975273878,7690.889747443944,7502.499834739627,8406.857611728823,2349.000025621635
57.0,6165.48933471483,7712.603891685613,7524.491571925177,8414.94695012421,2441.00002557011
58.0,6198.842899846151,7734.411555005109,7546.577549666139,8423.133040455006,2528.000025509719
59.0,6232.288926276438,7756.313119817635,7568.758151529668,8431.41675379332,2612.000025453309
