Day,Exponential_Pred,Logistic_Pred,Richards_Pred,Gompertz_Pred,Weighted Average (InvMSE)_Pred
0.0,4409.1780915155405,6612.946408181282,6410.14530893687,7840.187911070878,34.15808648682945
1.0,4437.662880937255,6629.992744409052,6427.430674278616,7844.109999557808,90.80164323044662
2.0,4466.226634656657,6647.113286076371,6444.790899494263,7848.088057825767,147.51481677950818
3.0,4494.869571575139,6664.308343665153,6462.22629629084,7852.1227195859965,204.29763290533057
4.0,4523.591911200937,6681.578228844842,6479.737177562171,7856.2146233158155,261.1501172116462
5.0,4552.393873650789,6698.923254475951,6497.323857392394,7860.364412263908,318.07229513435993
6.0,4581.27567965164,6716.343734613594,6514.986651059484,7864.572734455241,375.0641919412558
7.0,4610.237550542309,6733.839984511037,6532.725875038761,7868.840242695611,432.1258327317375
8.0,4639.279708275218,6751.412320623227,6550.541847006425,7873.167594575807,489.2572424365558
9.0,4668.402375418066,6769.061060610349,6568.434885843071,7877.555452475384,546.458445817525
10.0,4697.60577515555,6786.786523341352,6586.405311637209,7882.004483566064,603.7294674672661
11.0,4726.890131291063,6804.589028897499,6604.453445688796,7886.515359814736,661.0703318089262
12.0,4756.255668248422,6822.46889857591,6622.57961051275,7891.088757986076,718.4810630959269
13.0,4785.70261107358,6840.426454893113,6640.7841298424755,7895.725359644766,775.961685411667
14.0,4815.231185436352,6858.462021588568,6659.067328633388,7900.425851157319,833.5122226692769
15.0,4844.841617632145,6876.57592362823,6677.429533066434,7905.190923693506,891.1326986113481
16.0,4874.534134583694,6894.768487208081,6695.871070551624,7910.021273227382,948.8231368096498
17.0,4904.3089638428,6913.040039757672,6714.392269731539,7914.917600537904,1006.5835606648745
18.0,4934.16633359207,6931.390909943682,6732.993460484868,7919.88061120915,1064.4139934063808
19.0,4964.106472646671,6949.821427673438,6751.674973929916,7924.911015630123,1122.3144580918997
20.0,4994.12961045608,6968.331924098467,6770.437142428136,7930.009528994145,1180.2849776072946
21.0,5024.235977105846,6986.922731618039,6789.280299587645,7935.176871297841,1238.3255746662944
22.0,5054.42580331935,7005.594183882704,6808.20478026674,7940.413767339706,1296.4362718102102
23.0,5084.699320459574,7024.346615797829,6827.210920577421,7945.720946718251,1354.6170914076856
24.0,5115.056760530876,7043.180363527141,6846.299057888904,7951.099143829732,1412.8680556544361
25.0,5145.498356180765,7062.095764496253,6865.46953083114,7956.54909786546,1471.1891865729874
26.0,5176.024340701685,7081.093157396215,6884.72267929832,7962.071552808678,1529.5805060123976
27.0,5206.634948032804,7100.172882187033,6904.0588444524055,7967.66725743102,1588.0420356480083
28.0,5237.330412761804,7119.335280101204,6923.478368726617,7973.336965288539,1646.5737969811883
29.0,5268.110970126686,7138.5806936472545,6942.981595828956,7979.08143471731,1705.1758113390483
30.0,5298.976856017563,7157.909466613253,6962.568870745714,7984.901428828586,1763.84809987422
31.0,5329.928306978473,7177.321944070354,6982.24053974496,7990.797715503541,1822.5906835645735
32.0,5360.9655602091925,7196.818472376306,7001.996950380068,7996.771067387564,1881.4035832129362
33.0,5392.088853567052,7216.399399178976,7021.838451493191,8002.822261884114,1940.286819446888
34.0,5423.298425568758,7236.065073419875,7041.765393218773,8008.952081148152,1999.2404127184543
35.0,5454.594515392227,7255.815845337669,7061.778126987039,8015.161312079115,2058.26438330388
36.0,5485.9773628784105,7275.652066471692,7081.877005527487,8021.4507463134605,2117.358751303352
37.0,5517.447208533139,7295.57408966545,7102.062382872375,8027.821180216759,2176.523536640762
38.0,5549.004293528961,7315.582269070141,7122.334614360207,8034.273414875348,2235.7587590634407
39.0,5580.648859706992,7335.676960148143,7142.6940566392095,8040.808256087538,2295.064438141888
40.0,5612.381149578773,7355.858519676531,7163.14106767082,8047.426514354373,2354.4405932695545
41.0,5644.201406328125,7376.127305750557,7183.676006733147,8054.129004869932,2413.8872436625584
42.0,5676.109873813003,7396.48367778715,7204.299234424452,8060.916547511202,2473.404408359436
43.0,5708.106796567389,7416.927996528402,7225.0111126666125,8067.789966827477,2532.9921062209046
44.0,5740.192419803142,7437.460624045059,7245.8120047085795,8074.750092029321,2592.6503559295948
45.0,5772.366989411889,7458.081923739992,7266.702275129839,8081.797756977068,2652.3791759897867
46.0,5804.630751966905,7478.792260351673,7287.682289843864,8088.9338001688775,2712.1785847272126
47.0,5836.983954725011,7499.591999957653,7308.752416101561,8096.159064728325,2772.0486002887324
48.0,5869.426845628454,7520.481509978023,7329.913022494724,8103.474398391543,2831.9892406421473
49.0,5901.959673306822,7541.461159178874,7351.164478959456,8110.880653493909,2892.0005235759113
50.0,5934.582687078943,7562.531317675759,7372.507156779613,8118.3786869562655,2952.082466698887
51.0,5967.296136954793,7583.692356937132,7393.941428590231,8125.969360270689,3012.23508744012
52.0,6000.100273637415,7604.944649787802,7415.467668380943,8133.653539485805,3072.4584030485707
53.0,6032.995348524842,7626.288570412376,7437.086251499402,8141.4320951916325,3132.7524305928796
54.0,6065.981613712022,7647.724494358679,7458.797554654691,8149.3059025039765,3193.1171869611
55.0,6099.059321992746,7669.2527985411925,7480.601955920718,8157.275841048365,3253.5526888604672
56.0,6132.228726861592,7690.873861244469,7502.499834739627,8165.34279494351,3314.0589528171627
57.0,6165.490082515867,7712.588062126555,7524.491571925177,8173.507652784327,3374.635995176054
58.0,6198.843643857547,7734.395782222387,7546.577549666139,8181.771307624475,3435.283832100449
59.0,6232.289666495241,7756.297403947203,7568.758151529668,8190.134656958458,3496.0024795718678
60.0,6265.828406746142,7778.293311099929,7591.033762464671,8198.59860270324,3556.7919533897743
61.0,6299.460121637993,7800.383888866574,7613.404768805174,8207.164051179412,3617.652269171367
62.0,6333.185068911068,7822.569523823602,7635.871558273682,8215.831913091906,3678.5834423512997
63.0,6367.003507020124,7844.85060394131,7658.434519984514,8224.603103510231,3739.5854881814766
64.0,6400.915695136405,7867.227518587182,7681.094044447165,8233.478541848255,3800.6584217307814
65.0,6434.92189314961,7889.700658529258,7703.850523569621,8242.459151843528,3861.802257884859
66.0,6469.022361669901,7912.27041593948,7726.7043506616865,8251.545861536146,3923.0170113458585
67.0,6503.217362029888,7934.937184397017,7749.655920438308,8260.739603247146,3984.302696632204
68.0,6537.507156286637,7957.701358891616,7772.705629022872,8270.041313556452,4045.659328078362
69.0,6571.892007223675,7980.563335826904,7795.8538739505075,8279.45193328035,4107.086919834578
70.0,6606.37217835301,8003.523513023727,7819.101054171382,8288.972407448517,4168.585485866683
71.0,6640.947933917144,8026.582289723423,7842.447570053964,8298.603685280576,4230.155039955798
72.0,6675.619538891101,8049.740066591139,7865.893823388313,8308.346720162206,4291.795595698158
73.0,6710.387258984457,8072.997245719107,7889.440217389325,8318.202469620795,4353.5071665048345
74.0,6745.251360643378,8096.354230629915,7913.087156699989,8328.171895300624,4415.28976560152
75.0,6780.212111052658,8119.811426279786,7936.835047394636,8338.255962937603,4477.14340602828
76.0,6815.269778137771,8143.369239061814,7960.684296982152,8348.45564233356,4539.06810063934
77.0,6850.424630566921,8167.028076809218,7984.635314409208,8358.771907330058,4601.063862102832
78.0,6885.676937753106,8190.788348798569,8008.688510063474,8369.205735781778,4663.130702900571
79.0,6921.026969856172,8214.650465753028,8032.844295776795,8379.758109529434,4725.268635327826
80.0,6956.4749977849,8238.614839845528,8057.103084828406,8390.43001437225,4787.47767149307
81.0,6992.021293199064,8262.681884701997,8081.465291948089,8401.222440039981,4849.7578233177765
82.0,7027.666128511525,8286.852015404535,8105.9313333193295,8412.136380164478,4912.109102536176
83.0,7063.409776890315,8311.125648494595,8130.501626582491,8423.17283225083,4974.531520695023
84.0,7099.25251226073,8335.503201976137,8155.176590837929,8434.332797648025,5037.025089153377
85.0,7135.19460930743,8359.985095318783,8179.956646649129,8445.617281519206,5099.589819082345
86.0,7171.236343476544,8384.571749460962,8204.842216045825,8457.027292811445,5162.225721464906
87.0,7207.377990977783,8409.263586813018,8229.833722527086,8468.563844225104,5224.932807095641
88.0,7243.619828786553,8434.061031260346,8254.931591064418,8480.22795218275,5287.71108658052
89.0,7279.962134646071,8458.964508166464,8280.136248104818,8492.020636797617,5350.5605703366755
90.0,7316.405187069521,8483.974444376116,8305.448121573852,8503.942921841652,5413.4812685921825
91.0,7352.94926534215,8509.09126821833,8330.867640878701,8515.995834713114,5476.473191385815
92.0,7389.594649523436,8534.315409509487,8356.395236911176,8528.180406403739,5539.536348566853
93.0,7426.341620449225,8559.647299556356,8382.031342050746,8540.497671465484,5602.670749794831
94.0,7463.190459733884,8585.087371159116,8407.776390167546,8552.948667976832,5665.876404539329
95.0,7500.141449772459,8610.636058614375,8433.630816625348,8565.53443750867,5729.153322079751
96.0,7537.19487374284,8636.29379771817,8459.59505828455,8578.25602508975,5792.501511505093
97.0,7574.351015607929,8662.061025768939,8485.669553505122,8591.114479171725,5855.920981713732
98.0,7611.610160117819,8687.93818157049,8511.854742149548,8604.11085159375,5919.4117414131915
99.0,7648.972592811972,8713.925705434951,8538.15106558575,8617.246197546685,5982.973799119964
100.0,7686.438600021414,8740.024039185702,8564.558966689996,8630.521575536872,6046.607163159228
101.0,7724.00846887092,8766.233626160301,8591.078889849796,8643.938047349486,6110.311841664675
102.0,7761.682487281228,8792.554911213365,8617.711280966772,8657.496678011505,6174.087842578278
103.0,7799.46094397123,8818.988340719461,8644.456587459516,8671.198535754234,6237.935173650072
104.0,7837.344128460202,8845.534362575976,8671.315258266422,8685.044691975454,6301.8538424379485
105.0,7875.332331069995,8872.193426205959,8698.287743848523,8699.036221201146,6365.843856307428
106.0,7913.425842927293,8898.965982560947,8725.374496192277,8713.174201046813,6429.9052224314455
107.0,7951.624955965825,8925.85248412378,8752.575968812376,8727.459712178434,6494.037947790136
108.0,7989.929962928604,8952.853384911388,8779.892616754481,8741.893838272965,6558.242039170638
109.0,8028.341157370173,8979.969140477568,8807.324896597998,8756.477665978511,6622.517503166851
110.0,8066.858833658857,9007.200207915743,8834.873266458786,8771.212284874055,6686.864346179246
111.0,8105.4832869790125,9034.547045861676,8862.538185991873,8786.098787428826,6751.28257441464
112.0,8144.214813333295,9062.01011449621,8890.320116394158,8801.138268961282,6815.772193885993
113.0,8183.053709544923,9089.589875547937,8918.219520407054,8816.331827597696,6880.333210412191
114.0,8222.000273259964,9117.286792295894,8946.236862319152,8831.680564230379,6944.9656296178555
115.0,8261.054802949591,9145.101329572199,8974.372607968848,8847.185582475511,7009.669456933086
116.0,8300.2175979124,9173.033953764689,9002.627224746942,8862.847988630623,7074.444697593309
117.0,8339.488958276692,9201.085132819526,9031.001181599226,8878.668891631682,7139.291356639035
118.0,8378.869185002754,9229.255336243801,9059.494949029055,8894.649403009831,7204.209438915667
119.0,8418.3585798852,9257.545035108073,9088.108999099868,8910.790636847752,7269.1989490732785
120.0,8457.95744555525,9285.954702048934,9116.843805437726,8927.093709735676,7334.259891566413
121.0,8497.666085483077,9314.484811271524,9145.699843233799,8943.559740727042,7399.392270653899
122.0,8537.484803980118,9343.135838552029,9174.677589246832,8960.189851293784,7464.59609039861
123.0,8577.413906201407,9371.908261240153,9203.77752180561,8976.98516528129,7529.871354667287
124.0,8617.453698147918,9400.802558261574,9233.000120811368,8993.946808863004,7595.218067130333
125.0,8657.6044866689,9429.819210120366,9262.345867740201,9011.075910494685,7660.636231261583
126.0,8697.866579464247,9458.958698901399,9291.815245645439,9028.37360086833,7726.12585033815
127.0,8738.240285086842,9488.221508272733,9321.408739159986,9045.841012865763,7791.686927440179
128.0,8778.72591294492,9517.608123487944,9351.126834498682,9063.479281511889,7857.319465450668
129.0,8819.323773304444,9547.119031388476,9380.970019460558,9081.289543927622,7923.023467055267
130.0,8860.034177291498,9576.754720405926,9410.938783431146,9099.272939282479,7988.798934742078
131.0,8900.857436894636,9606.51568056433,9441.033617384715,9117.43060874688,8054.645870801452
132.0,8941.793864967301,9636.402403482401,9471.255013886499,9135.763695444104,8120.564277325793
133.0,8982.843775230216,9666.415382375762,9501.603467094883,9154.273344401941,8186.554156209368
134.0,9024.007482273788,9696.55511205913,9532.079472763586,9172.960702504042,8252.615509148089
135.0,9065.285301560521,9726.822088948486,9562.683528243791,9191.82691844096,8318.748337639356
136.0,9106.677549427419,9757.216811063228,9593.416132486263,9210.873142660883,8384.952642981822
137.0,9148.184543088431,9787.739778028257,9624.277786043433,9230.100527320077,8451.228426275218
138.0,9189.806600636868,9818.391491076074,9655.268991071449,9249.510226233047,8517.575688420173
139.0,9231.544041047848,9849.172453048834,9686.390251332223,9269.103394822392,8583.99443011798
140.0,9273.397184180743,9880.083168400364,9717.6420721954,9288.881190068378,8650.484651870445
141.0,9315.366350781616,9911.12414319816,9749.024960640341,9308.84477045824,8717.046353979684
142.0,9357.451862485694,9942.295885125344,9780.539425258068,9328.995295935203,8783.679536547908
143.0,9399.65404181982,9973.598903482605,9812.185976253148,9349.333927847232,8850.38419947728
144.0,9441.973212204943,10005.033709190093,9843.9651254456,9369.86182889551,8917.160342469673
145.0,9484.409697958581,10036.6008147893,9875.877386272708,9390.58016308266,8984.00796502653
146.0,9526.963824297301,10068.30073444489,9907.923273790859,9411.490095660713,9050.927066448638
147.0,9569.635917339245,10100.133983946505,9940.103304677301,9432.592793078795,9117.917645835949
148.0,9612.426304106579,10132.101080710538,9972.417997231914,9453.889422930606,9184.979702087447
149.0,9655.335312528037,10164.202543781885,10004.867871378905,9475.381153901608,9252.113233900864
150.0,9698.363271441434,10196.43889383564,10037.453448668508,9497.069155716013,9319.318239772563
151.0,9741.510510596152,10228.810653178774,10070.175252278616,9518.95459908351,9386.594717997348
152.0,9784.777360655713,10261.318345751768,10103.033807016398,9541.038655645756,9453.942666668281
153.0,9828.164153200269,10293.962497130233,10136.029639319886,9563.322497922667,9521.362083676466
154.0,9871.671220729182,10326.743634526461,10169.163277259508,9585.807299258458,9588.852966710907
155.0,9915.298896663538,10359.662286790974,10202.435250539611,9608.49423376748,9656.415313258309
156.0,9959.047515348739,10392.718984414008,10235.846090499916,9631.384476279833,9724.049120602887
157.0,10002.917412057024,10425.91425952699,10269.396330116964,9654.479202286786,9791.75438582622
